Metal,Model,High_n,k,Hits,Recall,Precision,Lift,Random_hits,Random_upper_tail
Co,C,11,17,8,0.7272727272727273,0.47058823529411764,1.8395721925133692,4.348837209302325,0.012452141836862853
Co,C,11,18,8,0.7272727272727273,0.4444444444444444,1.7373737373737372,4.604651162790698,0.020228631089305178
Co,C,11,19,9,0.8181818181818182,0.47368421052631576,1.8516746411483254,4.8604651162790695,0.00483118236946938
Co,C,11,20,10,0.9090909090909091,0.5,1.9545454545454546,5.116279069767442,0.0007679667350682666
Co,C,11,21,10,0.9090909090909091,0.47619047619047616,1.8614718614718615,5.372093023255814,0.001410372368965676
Co,C,11,22,10,0.9090909090909091,0.45454545454545453,1.7768595041322313,5.627906976744186,0.002483481780135212
Co,C,11,23,10,0.9090909090909091,0.43478260869565216,1.6996047430830041,5.883720930232558,0.0042130354098590065
Co,C,11,24,10,0.9090909090909091,0.4166666666666667,1.6287878787878787,6.1395348837209305,0.0069123744676779265
Co,C,11,25,10,0.9090909090909091,0.4,1.5636363636363635,6.395348837209302,0.011004004197424503
Co,C,11,26,10,0.9090909090909091,0.38461538461538464,1.5034965034965035,6.651162790697675,0.017041999458335247
Co,C,11,27,10,0.9090909090909091,0.37037037037037035,1.4478114478114477,6.906976744186046,0.025733369799300194
Co,C,11,28,10,0.9090909090909091,0.35714285714285715,1.3961038961038958,7.162790697674419,0.03795560934128216
Co,C,11,29,10,0.9090909090909091,0.3448275862068966,1.347962382445141,7.4186046511627906,0.054766549342885405
Co,C,11,30,10,0.9090909090909091,0.3333333333333333,1.303030303030303,7.674418604651163,0.07740127927361551
Co,C,11,31,11,1.0,0.3548387096774194,1.3870967741935485,7.930232558139535,0.014720488696209084
Co,C,11,32,11,1.0,0.34375,1.34375,8.186046511627907,0.022431220870413847
Co,C,11,33,11,1.0,0.3333333333333333,1.303030303030303,8.44186046511628,0.03364683130562077
Co,C,11,34,11,1.0,0.3235294117647059,1.2647058823529413,8.69767441860465,0.04973879410396114
Co,C,11,35,11,1.0,0.3142857142857143,1.2285714285714286,8.953488372093023,0.07253574140160998
Co,C,11,36,11,1.0,0.3055555555555556,1.1944444444444444,9.209302325581396,0.10445146761831839
Co,C,11,37,11,1.0,0.2972972972972973,1.1621621621621623,9.465116279069768,0.1486424731491454
Co,C,11,38,11,1.0,0.2894736842105263,1.131578947368421,9.720930232558139,0.20920051776546392
Co,C,11,39,11,1.0,0.28205128205128205,1.1025641025641026,9.976744186046512,0.291386435459039
Co,C,11,40,11,1.0,0.275,1.075,10.232558139534884,0.40191232477108824
Co,C,11,41,11,1.0,0.2682926829268293,1.048780487804878,10.488372093023257,0.549280177187154
Co,C,11,42,11,1.0,0.2619047619047619,1.023809523809524,10.744186046511627,0.7441860465116279
Co,C,11,43,11,1.0,0.2558139534883721,1.0,11.0,1.0
Ni,C,11,1,1,0.09090909090909091,1.0,3.909090909090909,0.2558139534883721,0.2558139534883721
Ni,C,11,2,2,0.18181818181818182,1.0,3.909090909090909,0.5116279069767442,0.06090808416389812
Ni,C,11,3,3,0.2727272727272727,1.0,3.9090909090909087,0.7674418604651163,0.013370067255489832
Ni,C,11,4,3,0.2727272727272727,0.75,2.9318181818181817,1.0232558139534884,0.04545822866866543
Ni,C,11,5,4,0.36363636363636365,0.8,3.1272727272727274,1.2790697674418605,0.01145026272649642
Ni,C,11,6,4,0.36363636363636365,0.6666666666666666,2.606060606060606,1.5348837209302326,0.029349192169743268
Ni,C,11,7,4,0.36363636363636365,0.5714285714285714,2.2337662337662336,1.7906976744186047,0.05837448315879221
Ni,C,11,8,4,0.36363636363636365,0.5,1.9545454545454546,2.046511627906977,0.09929208087252091
Ni,C,11,9,4,0.36363636363636365,0.4444444444444444,1.7373737373737372,2.302325581395349,0.15166660594609369
Ni,C,11,10,4,0.36363636363636365,0.4,1.5636363636363637,2.558139534883721,0.21405390787196701
Ni,C,11,11,5,0.45454545454545453,0.45454545454545453,1.7768595041322313,2.813953488372093,0.09116982832100429
Ni,C,11,12,6,0.5454545454545454,0.5,1.9545454545454544,3.0697674418604652,0.03203186503710343
Ni,C,11,13,6,0.5454545454545454,0.46153846153846156,1.8041958041958042,3.3255813953488373,0.05165367773959588
Ni,C,11,14,7,0.6363636363636364,0.5,1.9545454545454544,3.5813953488372094,0.016225404804540076
Ni,C,11,15,7,0.6363636363636364,0.4666666666666667,1.8242424242424242,3.8372093023255816,0.026914969914255182
Ni,C,11,16,8,0.7272727272727273,0.5,1.9545454545454546,4.093023255813954,0.007281074814778449
Ni,C,11,17,9,0.8181818181818182,0.5294117647058824,2.0695187165775404,4.348837209302325,0.0014636244149334875
Ni,C,11,18,10,0.9090909090909091,0.5555555555555556,2.1717171717171717,4.604651162790698,0.0001957185585570217
Ni,C,11,19,10,0.9090909090909091,0.5263157894736842,2.0574162679425836,4.8604651162790695,0.00039858349557725614
Ni,C,11,20,10,0.9090909090909091,0.5,1.9545454545454546,5.116279069767442,0.0007679667350682666
Ni,C,11,21,10,0.9090909090909091,0.47619047619047616,1.8614718614718615,5.372093023255814,0.001410372368965676
Ni,C,11,22,10,0.9090909090909091,0.45454545454545453,1.7768595041322313,5.627906976744186,0.002483481780135212
Ni,C,11,23,10,0.9090909090909091,0.43478260869565216,1.6996047430830041,5.883720930232558,0.0042130354098590065
Ni,C,11,24,10,0.9090909090909091,0.4166666666666667,1.6287878787878787,6.1395348837209305,0.0069123744676779265
Ni,C,11,25,10,0.9090909090909091,0.4,1.5636363636363635,6.395348837209302,0.011004004197424503
Ni,C,11,26,10,0.9090909090909091,0.38461538461538464,1.5034965034965035,6.651162790697675,0.017041999458335247
Ni,C,11,27,10,0.9090909090909091,0.37037037037037035,1.4478114478114477,6.906976744186046,0.025733369799300194
Ni,C,11,28,10,0.9090909090909091,0.35714285714285715,1.3961038961038958,7.162790697674419,0.03795560934128216
Ni,C,11,29,10,0.9090909090909091,0.3448275862068966,1.347962382445141,7.4186046511627906,0.054766549342885405
Ni,C,11,30,10,0.9090909090909091,0.3333333333333333,1.303030303030303,7.674418604651163,0.07740127927361551
Ni,C,11,31,10,0.9090909090909091,0.3225806451612903,1.2609970674486803,7.930232558139535,0.10724927478666618
