Representation,Deleted_Block,Metal,Mean_Delta_Recall
logHF,8,Zn,0.013888888888888888
logHF,8,Cu,-0.0009259259259259226
logHF,8,Cr,-0.027777777777777776
logHF,8,Co,0.05324074074074074
logHF,8,Ni,0.034722222222222224
logHF,8,Mn,0.2916666666666667
logHF,8,Pb,0.0009259259259259273
logHF,8,Cd,-0.002314814814814816
logHF,9,Fe,-0.00046296296296296287
logHF,9,Zn,0.06481481481481481
logHF,9,Cu,-0.07361111111111113
logHF,9,Cr,-0.03333333333333334
logHF,9,Co,0.1375
logHF,9,Ni,-0.018055555555555554
logHF,9,Mn,0.10833333333333334
logHF,9,Pb,-0.042129629629629635
logHF,9,Cd,0.0023148148148148143
logHF,10,Fe,-0.002314814814814816
logHF,10,Zn,0.0074074074074074
logHF,10,Cu,-0.06805555555555556
logHF,10,Cr,0.0
logHF,10,Co,0.13009259259259257
logHF,10,Ni,0.025462962962962958
logHF,10,Mn,0.09814814814814815
logHF,10,Pb,-0.019907407407407405
logHF,10,Cd,0.041666666666666664
