Representation,Deleted_Block,Outer_Block_A,Outer_Block_B,Test_n,Metal,S_MAE,S_REC,Inner_MAE_of_S_MAE,Inner_Recovery_of_S_MAE,Inner_MAE_of_S_REC,Inner_Recovery_of_S_REC,Recovery_Primary_Tie_Size,Recovery_Primary_Tied_Set,Outer_Recall_S_MAE,Outer_Recall_S_REC,Delta_Recall,Outer_Hits_S_MAE,Outer_Hits_S_REC,High_n,Budget_k,Outer_BlockMAE_S_MAE,Outer_BlockMAE_S_REC,Delta_BlockMAE_REC_minus_MAE,Inner_Pairs
FD,0,2,10,3,Co,Fν,Cν,0.06497395699456145,0.38333333333333336,0.06701625321402241,0.7125,1,Cν,1.0,1.0,0.0,1,1,1,1,0.0701635725605414,0.04029002540390031,-0.02987354715664109,28
FD,0,2,10,3,Ni,C,Cν,0.0605984578785585,0.5958333333333334,0.06217203638134283,0.630952380952381,1,Cν,1.0,1.0,0.0,1,1,1,1,0.09642318680642126,0.09559425933258037,-0.0008289274738408903,28
FD,0,2,10,3,Mn,FC,FC,0.08854604452681107,0.6642857142857144,0.08854604452681107,0.6642857142857144,1,FC,0.0,0.0,0.0,0,0,1,1,0.23946134377404205,0.23946134377404205,0.0,28
FD,0,2,10,3,Pb,F,FC,0.09197992913274858,0.526190476190476,0.09213069838305098,0.5529761904761903,1,FC,0.0,0.0,0.0,0,0,1,1,0.09433412474651504,0.1070940625504414,0.012759937803926369,28
FD,0,2,10,3,Cd,C,F,0.24428511856687332,0.34523809523809523,0.24858382178836,0.38511904761904764,1,F,0.0,0.0,0.0,0,0,1,1,0.3841576829504231,0.3546386633523566,-0.029519019598066465,28
FD,0,3,4,11,Fe,Cν,Cν,0.182791109835796,0.6363095238095237,0.182791109835796,0.6363095238095237,1,Cν,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.09326093528430629,0.09326093528430629,0.0,28
FD,0,3,4,11,Zn,F,F,0.07947500788793353,0.5601190476190476,0.07947500788793353,0.5601190476190476,1,F,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.1951054323303479,0.1951054323303479,0.0,28
FD,0,3,4,11,Cu,FC,Cν,0.13345511537020324,0.4934523809523811,0.17324909693854376,0.5363095238095238,1,Cν,0.6666666666666666,1.0,0.33333333333333337,2,3,3,3,0.10965481556042966,0.1613325259612367,0.05167771040080704,28
FD,0,3,4,11,Cr,Cν,Cν,0.10136399121704397,0.6869047619047619,0.10136399121704397,0.6869047619047619,1,Cν,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.106694908845331,0.106694908845331,0.0,28
FD,0,3,4,11,Co,C,Cν,0.06762051809063983,0.5470238095238097,0.0677046501846862,0.6958333333333332,1,Cν,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.048695318001960294,0.05092385161539175,0.0022285336134314562,28
FD,0,3,4,11,Ni,C,Cν,0.0778004712062976,0.4726190476190477,0.07926303797123435,0.5410714285714285,1,Cν,1.0,1.0,0.0,3,3,3,3,0.04007871378823251,0.04121735481788418,0.0011386410296516727,28
FD,0,3,4,11,Mn,Fν,Cν,0.13604482982398328,0.5232142857142856,0.15058306859738882,0.6482142857142856,1,Cν,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.12147378962688123,0.07460740503519123,-0.04686638459169,28
FD,0,3,4,11,Pb,F,C,0.1054558202339398,0.44999999999999984,0.13054726765290722,0.5452380952380951,1,C,1.0,0.3333333333333333,-0.6666666666666667,3,1,3,3,0.055932460535101564,0.08454595066273862,0.02861349012763706,28
FD,0,3,4,11,Cd,C,F,0.25830166892223116,0.15119047619047618,0.26334804154249164,0.26011904761904764,1,F,0.0,0.3333333333333333,0.3333333333333333,0,1,3,3,0.34650743483992164,0.3354728007882133,-0.011034634051708347,28
FD,0,3,5,11,Fe,C,Cν,0.17728802183662687,0.45952380952380956,0.17950126179295042,0.6660714285714285,1,Cν,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.12626073746033406,0.10473767865445799,-0.021523058805876072,28
FD,0,3,5,11,Zn,F,F,0.09135865178559957,0.5779761904761905,0.09135865178559957,0.5779761904761905,1,F,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.15837314925355667,0.15837314925355667,0.0,28
FD,0,3,5,11,Cu,FC,FC,0.1349617586525623,0.5648809523809525,0.1349617586525623,0.5648809523809525,1,FC,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.11226189061152102,0.11226189061152102,0.0,28
FD,0,3,5,11,Cr,Cν,Cν,0.09263088479352086,0.6511904761904762,0.09263088479352086,0.6511904761904762,1,Cν,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.1323146073188714,0.1323146073188714,1.3877787807814457e-17,28
FD,0,3,5,11,Co,C,Cν,0.06630924392562385,0.47559523809523824,0.06787662756402615,0.6124999999999999,1,Cν,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.0513223353186048,0.047305155539612606,-0.004017179778992193,28
FD,0,3,5,11,Ni,C,Cν,0.0732283029204499,0.5321428571428573,0.07521853700804423,0.5648809523809524,1,Cν,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.05587179981052018,0.053005233955957645,-0.002866565854562537,28
FD,0,3,5,11,Mn,FC,Cν,0.13231742644667835,0.4886904761904762,0.14469414628126254,0.6482142857142856,1,Cν,0.6666666666666666,0.3333333333333333,-0.3333333333333333,2,1,3,3,0.08222377701321729,0.09868770531878912,0.016463928305571834,28
FD,0,3,5,11,Pb,F,C,0.10095970931893916,0.4857142857142856,0.1257707537461684,0.563095238095238,1,C,0.6666666666666666,0.6666666666666666,0.0,2,2,3,3,0.07692751821984362,0.11002194737134927,0.03309442915150565,28
FD,0,3,5,11,Cd,C,F,0.31105158989607096,0.23154761904761906,0.3112924125461121,0.35535714285714287,1,F,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.17957315929053613,0.18370232817793516,0.004129168887399046,28
FD,0,3,6,19,Fe,Cν,Cν,0.1748380664613635,0.7857142857142858,0.1748380664613635,0.7857142857142858,1,Cν,0.6,0.6,0.0,3,3,5,5,0.1553364507974178,0.1553364507974178,0.0,28
FD,0,3,6,19,Zn,Fν,F,0.11001987858937455,0.34523809523809523,0.11013816204274687,0.49404761904761907,1,F,0.8,0.8,0.0,4,4,5,5,0.11014148702922479,0.1359790483196917,0.025837561290466923,28
FD,0,3,6,19,Cu,FC,F,0.13968033802737903,0.5208333333333334,0.15564433131071548,0.5922619047619049,1,F,0.8,0.6,-0.20000000000000007,4,3,5,5,0.10624207982776868,0.10699737821629901,0.0007552983885303344,28
FD,0,3,6,19,Cr,Cν,Cν,0.07328448308428029,0.7291666666666669,0.07328448308428029,0.7291666666666669,1,Cν,0.6,0.6,0.0,3,3,5,5,0.1659988363761885,0.1659988363761885,1.3877787807814457e-17,28
FD,0,3,6,19,Co,Cν,Cν,0.0677922226746999,0.6845238095238095,0.0677922226746999,0.6845238095238095,1,Cν,0.8,0.8,0.0,4,4,5,5,0.06720164835406542,0.06720164835406542,0.0,28
FD,0,3,6,19,Ni,C,C,0.07982798743101642,0.5684523809523809,0.07982798743101642,0.5684523809523809,2,F|C,0.8,0.8,0.0,4,4,5,5,0.046424090940258234,0.046424090940258234,3.469446951953614e-18,28
FD,0,3,6,19,Mn,F,Cν,0.13888843520866007,0.4226190476190476,0.14704225822971703,0.693452380952381,1,Cν,0.2,0.8,0.6000000000000001,1,4,5,5,0.13734673902231215,0.08512515181961097,-0.052221587202701175,28
FD,0,3,6,19,Pb,F,C,0.1048731626169224,0.369047619047619,0.1274754528571676,0.49999999999999994,1,C,0.8,0.4,-0.4,4,2,5,5,0.0782141098821542,0.0976596154618676,0.019445505579713404,28
FD,0,3,6,19,Cd,Cν,Cν,0.29232505678258663,0.39880952380952384,0.29232505678258663,0.39880952380952384,1,Cν,0.2,0.2,0.0,1,1,5,5,0.25407474349944625,0.25407474349944625,0.0,28
FD,0,3,7,11,Fe,Cν,Cν,0.13231230306704034,0.6779761904761904,0.13231230306704034,0.6779761904761904,1,Cν,0.3333333333333333,0.3333333333333333,0.0,1,1,3,3,0.23310440455613257,0.23310440455613257,0.0,28
