Sample,SiteCode,Side,StationNumber,Distance_raw,Distance_numeric_m,LocationIndex,Latitude_raw,Longitude_raw,Fine_Klf_raw,Fine_Khf_raw,Fine_net_mass_g,Fine_mass_rule,Fine_LF_reconstructed,Fine_HF_reconstructed,Fine_FD_pct,Coarse_Klf_raw,Coarse_Khf_raw,Coarse_mass_g,Coarse_LF_reconstructed,Coarse_HF_reconstructed,Coarse_FD_pct,Fe_mgkg,Zn_mgkg,Cu_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Mn_mgkg,Pb_mgkg,Cd_mgkg
29,L6,L,6,50,50.0,15,51.437631N,53.1177035,84.0,79.0,11.3177,dist gross mass - 2.999 g bottle,74.22002703729557,69.8021682850756,5.952380952380948,89,86,10.88,81.80147058823529,79.04411764705881,3.370786516853942,9990.69692189459,90.2399378767538,34.93682881553654,26.188070542135698,42.11745505277844,62.77246944236187,413.47758955899457,73.99604935092516,5.44379734995945
30,L6,L,6,70,70.0,15,51.437631N,53.1177035,122.0,115.0,9.3636,dist gross mass - 2.999 g bottle,130.29176812337136,122.8160109359648,5.73770491803279,95,89,8.9487,106.16067138243544,99.45578687407108,6.315789473684225,16474.957342166013,118.87002743484224,46.41350210970464,42.84490145672665,48.41442749939482,77.48119413400653,631.8436244805891,113.1098129189401,5.3657742768299705
31,R7,R,7,1,1.0,7,46.282531N,55.7647035,52.0,49.0,10.3569,dist gross mass - 2.999 g bottle,50.20807384449015,47.31145419961572,5.769230769230774,57,57,15.405,37.00097370983447,37.00097370983447,0.0,1724.792948864068,80.8427440290758,33.124334555779015,15.616365951517194,20.768431983385256,34.716557515867656,353.2519002415467,71.75974351364894,7.657758141362215
32,L7,L,7,1,1.0,16,52.513531N,53.2310035,184.0,181.0,11.5627,dist gross mass - 2.999 g bottle,159.13238257500413,156.5378328591073,1.630434782608703,195,191,14.6617,132.99958395001943,130.27138735617288,2.051282051282048,11447.901691804132,139.66068653568655,45.840235713653435,42.37407836379559,36.56474244709539,75.77626031491367,397.0820144537853,128.71043584213808,6.139211696746432
33,R8,R,8,1,1.0,8,45.511931N,56.4239035,52.0,50.0,10.7228,dist gross mass - 2.999 g bottle,48.49479613533779,46.62961166859403,3.84615384615385,34,31,14.4762,23.48682665340352,21.414459595750266,8.82352941176471,4207.840673254508,140.67785584179026,22.529866895917944,46.6577966683323,23.266137055915262,48.18165359435135,154.46211381914225,73.75647197802665,9.552899284074858
34,R8,R,8,50ة,50.0,8,45.511931N,56.4239035,140.0,139.0,10.6832,dist gross mass - 2.999 g bottle,131.04687734012282,130.1108282162648,0.7142857142857192,172,167,12.8253,134.10992335461938,130.21137907105486,2.9069767441860477,9984.379659196153,121.27897876015439,40.89250191395356,45.894101390372725,33.338572251830044,71.42495150674847,377.2410032870741,130.86759398474373,6.316835691056199
35,R8,R,8,100,100.0,8,45.511931N,56.4239035,105.0,100.0,11.5298,dist gross mass - 2.999 g bottle,91.06836198372912,86.73177331783727,4.76190476190475,104,95,10.198,101.98078054520494,93.15552069033144,8.653846153846144,19118.684337528306,64.96335015621244,26.314268417706305,58.691645831132405,45.55214699834912,75.4142841246639,677.5219540057067,89.45012692535141,3.7243383456078103
36,R8,R,8,150,150.0,8,45.511931N,56.4239035,103.0,99.0,11.3363,dist gross mass - 2.999 g bottle,90.85856937448726,87.33008124343922,3.883495145631054,103,97,10.2414,100.5721873962544,94.71361337317163,5.825242718446602,19268.01655207236,86.80555555555556,51.43748579711213,52.074953007811885,53.27701192073142,80.91730886272916,708.3043668788339,107.97687703593243,4.407778640319558
37,R8,R,8,200,200.0,8,45.511931N,56.4239035,110.0,105.0,11.6183,dist gross mass - 2.999 g bottle,94.67822314796486,90.37466755033009,4.545454545454549,106,102,10.6119,99.88786174012193,96.11850846690979,3.7735849056603756,23786.317784727253,74.4838059437226,28.705223730065388,61.76220165863024,50.954434237534194,80.49664186351154,774.3606881524069,70.19103063276958,7.9477697029796195
38,L8,L,8,1,1.0,17,54.524831N,51.1608035E,98.0,95.0,10.9886,dist gross mass - 2.999 g bottle,89.18333545674608,86.45323335092732,3.0612244897959195,106,107,12.8414,82.54551684395781,83.32424813493856,-0.9433962264151062,9029.513094553746,127.84925979370425,42.77251112694151,32.76738495247493,33.638595730099,59.725225976265044,301.78833373641805,90.7666186166967,5.78331536650026
39,L8,L,8,50,50.0,17,54.524831N,51.1608035E,111.0,106.0,10.9108,dist gross mass - 2.999 g bottle,101.73406166367269,97.15144627341716,4.504504504504505,90,89,9.02,99.77827050997783,98.66962305986696,1.1111111111111116,16983.01109611724,138.3352124775174,38.687263174312875,42.85525296710518,34.74048071350631,94.14130775983453,607.2519206301839,72.94662482884269,3.87324237640462
40,L8,L,8,100,100.0,17,54.524831N,51.1608035E,95.0,93.0,10.0567,dist gross mass - 2.999 g bottle,94.46438692612885,92.47566299084193,2.105263157894741,80,79,8.4801,94.33851015907831,93.15927878208983,1.250000000000004,15663.459386887444,106.15761977573904,35.12948554174892,45.10506827669159,41.97397613479642,71.25725441747312,603.663542156839,98.5008763593121,4.330588992786709
41,L8,L,8,150,150.0,17,54.524831N,51.1608035E,119.0,116.0,10.1028,dist gross mass - 2.999 g bottle,117.78912776655977,114.81965395731876,2.5210084033613502,81,79,7.7375,104.68497576736672,102.10016155088853,2.4691358024691383,11942.488949177912,184.36424686424687,57.06318997458238,39.27474209792189,30.829357752434678,46.575885780195776,445.13947789876846,89.38429991061571,3.696664346483841
42,R9,R,9,1m,1.0,9,43.558631N,57.2067035E,104.0,95.0,12.2028,dist gross mass - 2.999 g bottle,85.2263414953945,77.85098501983151,8.65384615384615,51,48,11.654,43.761798524111896,41.18757508151708,5.882352941176463,10852.29420059575,100.20082354529501,36.452004860267316,44.233487819541814,38.523428559880564,45.31952531322087,424.3215378658594,239.81582144912707,4.649714218036505
43,L9,L,9,1m,1.0,18,54.524831N,51.1505035,141.0,133.0,12.204609999999999,dist gross mass - 2.999 g bottle,115.53011525972565,108.97521510314546,5.673758865248236,146,137,11.2891,129.3282901205588,121.35599826381201,6.164383561643839,19089.254327075647,112.58585512976481,32.62727524715882,64.3973492695307,42.38385283093312,67.11668244696459,783.8705317607564,144.664809834806,4.19971540752062
44,L10,L,10,1ة,1.0,19,56.150831N,51.1711035,183.0,180.0,13.3678,dist gross mass - 2.999 g bottle,136.89612352069898,134.65192477445802,1.6393442622950727,199,195,13.7444,144.7862402141963,141.87596402898635,2.0100502512562746,5803.281229734767,123.69311491531128,37.58993945808574,47.29726962667977,46.606253663433115,51.88116019401334,201.0030519742473,180.19895435572747,36.4500279366131
